,formula,bandgap,effective_mass_n,effective_mass_p,ave_ele_diele,ave_ion_diele,formation_energy
108,BaAl2Sb2O7,5.3632,23.857490503049434,6.897664119723836,3.5020973333333334,5.562936999999999,-2.7688808362499993
109,BaBe2(BO3)2,8.9592,1.446396859934465,7.804873172444026,3.0035853333333336,6.614782000000001,-3.120560989848485
110,BaBe2Si2O7,9.0939,1.4411814691253093,21.736293872306742,3.0931116666666667,6.488955999999999,-3.3066602608333335
111,BaBeSiO4,7.8662,1.5259330014462276,23.00605862338884,3.002328666666667,6.357035666666667,-3.324616174999999
112,BaCa(GaO2)4,5.873900000000001,1.1270104153495466,13.450924665059055,3.587806666666667,8.482289000000002,-2.6343520764285713
113,BaBiBO4,5.5231,2.8769090316121315,15.853602038856028,4.219329666666666,11.615303333333332,-2.6110980834523803
114,BaGa2B2O7,7.3271,1.174509988593718,13.540002857823463,3.249229666666667,5.34026,-2.7636706123611106
115,BaCeO3,4.2856,41.899163096296554,9.055874804905782,5.079621666666667,20.415422333333336,-3.5906097180000005
116,BaCdO2,2.433,1.0467845257295072,9.630582034304892,5.353496333333332,12.162706666666667,-2.1459757218749997
117,BaGeO3,6.410399999999999,1.3235476243185231,17.998528905714767,3.3553223333333335,7.684764333333334,-2.6960020335
118,BaGa4O7,5.4052,1.0579802712682365,879.052806560832,3.3827010000000004,6.3842946666666665,-2.486273411249999
119,BaHfO3,5.4862,1.666922037838536,5.943432542202663,4.645095,31.840243,-3.7867155090000013
120,BaLa2PdO5,4.2894,12.199360715819914,11.993986451929128,5.8087946666666666,22.72138766666667,-3.0277652011111105
121,BaLa2O4,5.6265,1.5505521212688707,4.246103178973364,4.039873,13.816214,-3.582359615714285
122,BaGePbO4,5.2726999999999995,5.052451484597261,7.741953719675644,4.260979,10.958143666666667,-2.3497993528571435
123,BaHgO2,4.7979,2.0166168829469195,5.558043809256413,3.682696,4.3488386666666665,-1.9624375387499997
124,BaHf(SiO3)3,8.0793,1.9250726502735502,16.65337269878888,2.9677063333333336,5.8078563333333335,-3.519880910357143
125,BaHf(BO3)2,7.7828,4.316269367101036,10.767524747580026,3.390382666666667,8.622676,-3.4097016038333336
126,BaNaBO3,6.9049000000000005,1.8773903184374574,24.447381303174296,3.146003,6.916648666666667,-2.8548703726197324
127,BaLiBO3,7.4679,2.634917218847169,24.984601862743002,3.259809333333333,7.717720333333333,-2.9588598808333337
128,BaMoO4,6.153599999999999,23.230627539822024,15.498716846836992,3.666693,5.905020333333333,-2.6545541241666673
129,BaNaSc(BO3)2,7.0066,9.084310356823252,5832.093448276353,3.3826680000000002,7.979019666666666,-3.158898195898642
130,BaLa2PtO5,3.7211000000000007,2.067400976773361,9.397632639067954,5.867136333333334,23.201233000000002,-3.030801111111111
131,BaSn(GeO3)3,5.8721,1.2467447959502722,22.741274758049954,3.283803666666667,6.0435723333333335,-2.351820577142858
132,BaSi3SnO9,7.4369,1.6585902079445904,13.273678363192976,2.895244,4.842478666666666,-3.09274423
133,BaNb2O6,3.9921,7.593972978413221,10.394346549024789,5.5678030000000005,71.65422533333334,-3.216099421666666
134,BaO,3.8011999999999997,1.459001640029821,3.2194862185710527,4.36642,61.525655,-2.8236447624999994
135,BaTi(SiO3)3,5.9064000000000005,187.30376307541246,14.101205036527816,3.4182096666666664,7.198157666666667,-3.3852939655952383
136,BaTi(AsO4)2,4.7354,46.35379632584199,22.951781527087384,3.940710333333333,17.248160333333335,-2.528850488611111
137,BaWO4,7.1754999999999995,13.917265433567943,15.530995423798121,3.5160396666666665,5.334236999999999,-2.7289869000000007
138,BaSr2Mg(SiO4)2,7.8596,1.3081883440457032,16.614143479455834,3.3870763333333334,14.701098666666667,-3.37927034952381
139,BaTiO3,3.2929000000000004,3.5621216253681895,6.083147564487817,6.410341333333332,50.419003,-3.4922378096666673
140,BaSnO3,2.6303000000000005,0.6068881293270022,5.78648705664984,4.932205,15.447556999999998,-2.5874686660000004
141,BaY2O4,5.3302000000000005,2.2319252743540607,9.687751381244409,4.390427,13.703122666666667,-3.656600461190475
142,BaZn2Si2O7,6.897,1.1511736635161096,10.127411466453236,3.021387333333333,5.418691,-2.856036191666667
143,BaZnO2,4.6575,1.1276456974953095,8.909520355414159,4.101416333333334,8.609696666666666,-2.365422885833334
144,BaZr(BO3)2,7.2393,5.401322669237149,10.403616357575217,3.5277923333333328,9.362990333333334,-3.3346572178333345
145,BeAl2O4,9.6656,1.3733774057252905,7.58950139378684,3.1748243333333335,5.754798999999999,-3.3529182539285713
146,BaZr(SiO3)3,8.0647,2.0031457191814974,17.832363000564893,3.041365666666666,6.123559666666666,-3.4643044378571437
147,BaZrO3,5.009,1.7422081217349288,5.874670615346291,4.92949,53.601362,-3.6391672449999994
148,Bi2Pt2O7,1.5286999999999997,3.398956664571263,4.842863071341904,10.006154,15.768191,-1.330852513636363
149,BiAsO4,4.956,1.9851448343340663,13.394234875368078,5.095687666666667,25.77822,-1.766119035
150,Bi2O3,3.1369,2.0723158337184726,4.331330128514201,6.982725333333334,24.87928666666667,-1.6417272149999995
151,BeTlAsO4,5.28,2.685259298409476,4.229906005193614,3.867735666666667,7.619990333333334,-2.04176959047619
152,BeO,11.0232,1.7720807513361865,6.3366521594848955,3.1160083333333333,3.939074,-3.1028558024999997
153,BiO2,2.0599000000000003,1.7698583338950646,7.558947183141807,7.674405666666666,22.537111,-1.4597641266666663
154,BiSbO4,4.262,4.9394778370128005,9.804046996694638,5.5688336666666665,16.052501333333336,-1.8414490133333334
155,Ca(AgO2)2,2.1579999999999995,6.9851680327169685,15.857689354670136,7.950713666666666,4.096464999999999,-1.3464370540476187
156,Ca(AuO2)2,3.1430000000000002,9.718729782067602,15.323805148152884,6.629420333333333,4.258340333333334,-1.4662160107142856
157,BiBO3,4.583399999999999,4.992583574723276,3.6120922498597636,4.6767796666666674,13.062496333333334,-2.2904667498333326
158,Ca(AsO3)2,6.432600000000001,1.4430804104911499,17.95710674970521,3.628379666666667,6.562723000000001,-2.229921160000001
159,Ca2GeO4,6.629499999999999,1.35918816229179,30.833101562890754,3.259415666666667,5.228145333333334,-2.9902279757142853
160,Ca2BiAsO6,5.2183,5.081828904419335,27.19878982205329,3.896172333333334,8.738473666666666,-2.5414911255000003
161,Ca(SbO3)2,5.6149000000000004,1.2555135912926372,20.41643970921494,3.6091149999999996,5.8812473333333335,-2.3709468211111124
162,Ca(CuO2)2,1.7480000000000002,8.155525080890204,21.661389360617335,8.800568333333333,3.721500666666667,-1.7102426450000001
163,Ca2MgWO6,5.2136,5.501798466877302,30.56285324948943,4.492853333333333,15.137756333333334,-2.9958987970000006
164,Ca2PbO4,3.1038000000000006,1.3022756357931509,9.287676242477659,4.684011,9.301200666666666,-2.551106224285714
165,Ca2Sb2O7,4.321299999999999,1.0122968686910758,11.841318438836941,3.9986506666666664,16.107380666666668,-2.5944479686363637
166,Ca2Pt3O8,2.8859,4.623344690065336,10.113915944641736,5.656781333333334,3.4373643333333335,-1.8014902061538454
167,Ca2ScSbO6,6.1238,2.2429659801050312,11.51929791017731,4.254186333333333,14.474167333333334,-3.1275018395000007
168,Ca2ScTaO6,5.6606,2.7174938671023297,9.817403137025858,4.750460666666666,25.263270666666667,-3.6293345705
169,Ca2SiO4,7.5271,1.6605851351553207,22.919914872440884,3.024392333333333,5.205543333333334,-3.4766319846428573
170,Ca2Sn3O8,5.1969,1.1178466015706534,32.04605129065037,3.6496560000000002,5.7079379999999995,-2.5545313888461525
171,Ca2SnO4,5.22,1.2353193110571365,10.258876322428096,3.9370713333333334,8.331208,-2.886048206428571
172,Ca3CdO4,4.797499999999999,1.0698897953860425,5.01916452562646,4.286781,11.859888,-2.83587233125
173,Ca2VBiO6,4.418699999999999,58.633821611992744,26.313135394123258,4.276643333333333,8.742983,-2.747112326500001
174,Ca2Ti3O8,4.3349,8.187112218653294,6.743943585742355,5.050849333333333,27.580774,-3.5559112699999984
175,Ca3(BO3)2,8.1466,1.54320451190525,14.76016935716526,3.256358666666667,7.728137999999999,-3.288179811212121
176,Ca3TaGa3(SiO7)2,6.8511,3.6095195904023156,29.783149460104234,3.532845333333333,28.27219,-3.082038004021739
177,CaAgAsO4,3.6746000000000003,1.1583449125420815,8.940369205882108,3.961145333333333,6.923168,-2.0495956388095236
178,Ca4PdO6,3.7962,6.888806692589743,9.385036213234592,5.124480666666667,12.017974,-2.675235593636364
179,Ca4As2O,1.8175000000000003,1.498366093504172,2.3253378714036326,8.264458333333332,18.043501666666668,-1.8127497364285716
180,Ca4Bi2O,1.1629000000000005,1.6177019986384276,1.5200646025938864,11.567609666666664,21.194836666666664,-1.6009697692857143
181,Ca4Sb2O,1.383,1.5054915493349075,1.679462547525496,9.781471999999999,17.540832666666667,-1.7807082792857143
182,Ca3WO6,5.418799999999999,6.185157310350174,14.72704410671999,4.075534333333334,10.010563666666668,-3.081071575500001
183,CaAlBO4,8.4903,1.4443561271010315,72.32118685238135,2.7101256666666664,3.9810006666666666,-3.322331291309524
184,CaAl2(SiO4)2,8.6056,1.3872247597582255,10.754827396172319,2.6805,3.846004333333333,-3.426421389615385
185,CaAl4O7,7.601999999999999,1.2576647725880332,34.45193628505117,2.8543566666666664,14.799878000000001,-3.4639722058333335
186,CaGa4O7,5.66,1.0437209602891933,58.76034789182174,3.3840166666666662,8.696867,-2.506107837916666
187,CaCrO4,4.3211,4.1235351236044036,16.461918400184246,3.7485093333333332,4.7972703333333335,-2.432013990833334
188,CaGaBO4,7.5526,1.4364286861506654,61.44847295307711,2.881221666666667,4.244756333333334,-2.9093757377380953
189,CaCdO2,1.9478000000000002,0.6825316246328266,3.0366422406343174,5.411096666666666,11.925954333333332,-2.3535980549999995
190,CaHfO3,6.6909,2.4173689690835998,8.973211451593333,4.343403333333334,23.83721733333333,-3.820938099000001
191,CaIn2O4,4.3244,0.9404751448441638,10.712122253651497,3.90699,4.967643,-2.394796169285714
192,CaLaGaO4,6.0716,1.3527640864136474,21.325607441392492,3.7282603333333335,8.668733000000001,-3.223998694642857
193,CaHgO2,4.3662,3.40258845094661,5.338280696149517,4.296594,3.602275666666667,-2.0944817662499995
194,CaMg(SiO3)2,8.5151,1.2485358196883438,19.710121961779606,3.038555333333333,5.4081703333333335,-3.3468844764999996
195,CaMgSiO4,8.1648,1.4141653955650741,17.02110594561972,2.9251050000000003,4.644911333333333,-3.365238211785714
196,CaMgGeO4,6.6566,1.3495696205005119,12.825783926603332,3.2170546666666664,4.6764339999999995,-2.871467272857142
197,CaSc2O4,5.4879,3.3055554326320817,7.6216272356232135,4.654534666666667,16.078022,-3.7836882207142857
198,CaNb2O4,2.0084,3.8843148504518834,2.0496962636679905,8.302370333333334,3.5344883333333335,-3.024087829999999
199,CaSn(BO3)2,7.0934,2.4330775408461616,13.140129346381325,3.2892126666666663,5.799183666666667,-2.8374268643333345
200,CaO,6.1487,1.5978388275073678,4.163587145287204,3.858475,12.138371,-3.3060156124999995
201,CaMoO4,5.1434999999999995,10.119564509869232,22.076570034018708,4.1844790000000005,7.975435666666666,-2.6396284475000016
202,CaV2O6,4.9144,26.127118849666857,20.719606045563367,4.034474333333334,7.202467666666667,-2.6998368055555577
